"","Student ID","Score","Subject","Grade","School","Gender","Ethnicity","Lunch Status","Teacher"
"1","303000105",4,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"2","303000105",4,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"3","303000105",4,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"4","301001086",4,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"5","301001086",4,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"6","301001086",4,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"7","306001140",2,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"8","306001140",2,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"9","306001140",2,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"10","303000119",2,"Biology","12th Grade","UDC-HS","F","Black","R",NA
"11","303000119",2,"Biology","12th Grade","UDC-HS","F","Black","R",NA
"12","303000119",2,"Biology","12th Grade","UDC-HS","F","Black","R",NA
"13","303000023",4,"Biology","12th Grade","UDC-HS","F","Hispanic","F",NA
"14","303000023",4,"Biology","12th Grade","UDC-HS","F","Hispanic","F",NA
"15","303000023",4,"Biology","12th Grade","UDC-HS","F","Hispanic","F",NA
"16","301001329",3,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"17","301001329",3,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"18","301001329",3,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"19","301001089",1,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"20","301001089",1,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"21","301001089",1,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"22","301001093",2,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"23","301001093",2,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"24","301001093",2,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"25","303000132",3,"Biology","12th Grade","UDC-HS","M","Hispanic","F",NA
"26","303000132",3,"Biology","12th Grade","UDC-HS","M","Hispanic","F",NA
"27","303000132",3,"Biology","12th Grade","UDC-HS","M","Hispanic","F",NA
"28","142021427",3,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"29","142021427",3,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"30","142021427",3,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"31","301001053",2,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"32","301001053",2,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"33","301001053",2,"Biology","12th Grade","UDC-HS","F","Black","F",NA
"34","401000071",2,"Biology","12th Grade","UDC-HS","M","Asian","P",NA
"35","401000071",2,"Biology","12th Grade","UDC-HS","M","Asian","P",NA
"36","401000071",2,"Biology","12th Grade","UDC-HS","M","Asian","P",NA
"37","301001371",2,"Biology","12th Grade","UDC-HS","F","Black","R",NA
"38","301001371",2,"Biology","12th Grade","UDC-HS","F","Black","R",NA
"39","301001371",2,"Biology","12th Grade","UDC-HS","F","Black","R",NA
"40","301001066",2,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"41","301001066",2,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"42","301001066",2,"Biology","12th Grade","UDC-HS","F","Black","P",NA
"43","301001067",4,"Biology","12th Grade","UDC-HS","M","Black","F",NA
"44","301001067",4,"Biology","12th Grade","UDC-HS","M","Black","F",NA
"45","301001067",4,"Biology","12th Grade","UDC-HS","M","Black","F",NA
"46","301001068",4,"Biology","12th Grade","UDC-HS","M","Black","F",NA
"47","301001068",4,"Biology","12th Grade","UDC-HS","M","Black","F",NA
"48","301001068",4,"Biology","12th Grade","UDC-HS","M","Black","F",NA
"49","401000072",2,"Biology","12th Grade","UDC-HS","F","Hispanic","FDC",NA
"50","401000072",2,"Biology","12th Grade","UDC-HS","F","Hispanic","FDC",NA
"51","401000072",2,"Biology","12th Grade","UDC-HS","F","Hispanic","FDC",NA
"52","303000151",3,"Biology","12th Grade","UDC-HS","F","Hispanic","FDC",NA
"53","303000151",3,"Biology","12th Grade","UDC-HS","F","Hispanic","FDC",NA
"54","303000151",3,"Biology","12th Grade","UDC-HS","F","Hispanic","FDC",NA
"55","301001309",3,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"56","301001309",3,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"57","301001309",3,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"58","303000108",2,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"59","303000108",2,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"60","303000108",2,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"61","301001140",2,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"62","301001140",2,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"63","301001140",2,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"64","301001155",1,"Biology","12th Grade","UDC-HS","M","Black","P",NA
"65","301001155",1,"Biology","12th Grade","UDC-HS","M","Black","P",NA
"66","301001155",1,"Biology","12th Grade","UDC-HS","M","Black","P",NA
"67","301200011",2,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"68","301200011",2,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"69","301200011",2,"Biology","12th Grade","UDC-HS","F","Black","FDC",NA
"70","205004575",3,"Biology","11th Grade","REH","M","Black","F",NA
"71","205004575",3,"Biology","11th Grade","REH","M","Black","F",NA
"72","205004575",3,"Biology","11th Grade","REH","M","Black","F",NA
"73","214848822",3,"Biology","11th Grade","REH","F","Black","F",NA
"74","214848822",3,"Biology","11th Grade","REH","F","Black","F",NA
"75","214848822",3,"Biology","11th Grade","REH","F","Black","F",NA
"76","203694971",5,"Biology","11th Grade","REH","M","Hispanic","P",NA
"77","203694971",5,"Biology","11th Grade","REH","M","Hispanic","P",NA
"78","203694971",5,"Biology","11th Grade","REH","M","Hispanic","P",NA
"79","203694989",4,"Biology","11th Grade","REH","M","Hispanic","P",NA
"80","203694989",4,"Biology","11th Grade","REH","M","Hispanic","P",NA
"81","203694989",4,"Biology","11th Grade","REH","M","Hispanic","P",NA
"82","208208967",3,"Biology","11th Grade","REH","F","Black","F",NA
"83","208208967",3,"Biology","11th Grade","REH","F","Black","F",NA
"84","208208967",3,"Biology","11th Grade","REH","F","Black","F",NA
"85","274765734",2,"Biology","11th Grade","REH","M","Black","F",NA
"86","274765734",2,"Biology","11th Grade","REH","M","Black","F",NA
"87","274765734",2,"Biology","11th Grade","REH","M","Black","F",NA
"88","204772024",3,"Biology","11th Grade","REH","M","Black","F",NA
"89","204772024",3,"Biology","11th Grade","REH","M","Black","F",NA
"90","204772024",3,"Biology","11th Grade","REH","M","Black","F",NA
"91","207903279",2,"Biology","11th Grade","REH","M","Black","F",NA
"92","207903279",2,"Biology","11th Grade","REH","M","Black","F",NA
"93","207903279",2,"Biology","11th Grade","REH","M","Black","F",NA
"94","205808363",3,"Biology","11th Grade","REH","M","Black","F",NA
"95","205808363",3,"Biology","11th Grade","REH","M","Black","F",NA
"96","205808363",3,"Biology","11th Grade","REH","M","Black","F",NA
"97","206165508",2,"Biology","11th Grade","REH","F","Black","R",NA
"98","206165508",2,"Biology","11th Grade","REH","F","Black","R",NA
"99","206165508",2,"Biology","11th Grade","REH","F","Black","R",NA
"100","203061916",4,"Biology","11th Grade","REH","M","Black","F",NA
"101","203061916",4,"Biology","11th Grade","REH","M","Black","F",NA
"102","203061916",4,"Biology","11th Grade","REH","M","Black","F",NA
"103","205041064",3,"Biology","11th Grade","REH","F","Black","F",NA
"104","205041064",3,"Biology","11th Grade","REH","F","Black","F",NA
"105","205041064",3,"Biology","11th Grade","REH","F","Black","F",NA
"106","204287536",2,"Biology","11th Grade","REH","M","Black","F",NA
"107","204287536",2,"Biology","11th Grade","REH","M","Black","F",NA
"108","204287536",2,"Biology","11th Grade","REH","M","Black","F",NA
"109","206737116",3,"Biology","11th Grade","REH","F","Black","F",NA
"110","206737116",3,"Biology","11th Grade","REH","F","Black","F",NA
"111","206737116",3,"Biology","11th Grade","REH","F","Black","F",NA
"112","219344512",2,"Biology","11th Grade","NDHS","F","Hispanic","F",NA
"113","219344512",2,"Biology","11th Grade","NDHS","F","Hispanic","F",NA
"114","219344512",2,"Biology","11th Grade","NDHS","F","Hispanic","F",NA
"115","225942358",2,"Biology","11th Grade","NDHS","F","Black","P",NA
"116","225942358",2,"Biology","11th Grade","NDHS","F","Black","P",NA
"117","225942358",2,"Biology","11th Grade","NDHS","F","Black","P",NA
"118","203372628",2,"Biology","11th Grade","NDHS","F","Black","FDC",NA
"119","203372628",2,"Biology","11th Grade","NDHS","F","Black","FDC",NA
"120","203372628",2,"Biology","11th Grade","NDHS","F","Black","FDC",NA
"121","219263258",2,"Biology","11th Grade","NDHS","F","Black","F",NA
"122","219263258",2,"Biology","11th Grade","NDHS","F","Black","F",NA
"123","219263258",2,"Biology","11th Grade","NDHS","F","Black","F",NA
"124","204964423",2,"Biology","11th Grade","NDHS","M","Black","R",NA
"125","204964423",2,"Biology","11th Grade","NDHS","M","Black","R",NA
"126","204964423",2,"Biology","11th Grade","NDHS","M","Black","R",NA
"127","206404378",4,"Biology","11th Grade","NDHS","F","Black","R",NA
"128","206404378",4,"Biology","11th Grade","NDHS","F","Black","R",NA
"129","206404378",4,"Biology","11th Grade","NDHS","F","Black","R",NA
"130","203923982",2,"Biology","11th Grade","NDHS","M","Black","FDC",NA
"131","203923982",2,"Biology","11th Grade","NDHS","M","Black","FDC",NA
"132","203923982",2,"Biology","11th Grade","NDHS","M","Black","FDC",NA
"133","204811632",2,"Biology","11th Grade","NDHS","F","Black","P",NA
"134","204811632",2,"Biology","11th Grade","NDHS","F","Black","P",NA
"135","204811632",2,"Biology","11th Grade","NDHS","F","Black","P",NA
